odom_x, odom_y, odom_th, imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, stamp, 
-0.04597408976882344, 0.033560829483823586, -0.13557236348775287, -0.06557098770882322, 0.0035663067764849, -0.06683986855106148, -1.2807302949335623e-09, -0.002548719949192842, 5.024994194984657e-07, -0.01641620440460427, 0.02952879605331314, 133654000000, 
-0.045974088967184794, 0.033560827843620404, -0.1355721313386618, -0.03295806166265287, 0.03195476620066409, -0.04198900182683374, 1.297422079699927e-07, -0.0022742778158475517, -5.704765137571457e-05, -0.0164432695155001, 0.029532486798461918, 133756000000, 
-0.04597413060434502, 0.033560829281726, -0.13557184050329554, -0.030162488552986713, -0.010493180583460117, -0.03329625452338231, -7.967697477387233e-09, -0.0016643454339223254, 4.787285929345772e-06, -0.016503726217384256, 0.02954073079567947, 133858000000, 
-0.04597412288957961, 0.033560820441854045, -0.1355716741746143, -0.07460499783233822, -0.0017508263656451552, -0.06350241276734885, -7.915551057490464e-09, -0.0015733487419815223, 5.031021315415032e-06, -0.01651266159634068, 0.02954194948127019, 133926000000, 
-0.04597405873615672, 0.03356081213400263, -0.13557142857821042, -0.0641956624684843, 0.0025921137613353733, -0.06396555577110097, 1.897460592740495e-09, -0.0021072280459992973, -9.00453368748077e-07, -0.016458967887135505, 0.0295346274666552, 134028000000, 
-0.04597407875141531, 0.03356081302090053, -0.1355711645047264, -0.06614509617531192, 0.007091940966991671, -0.06551275897469512, 2.157577991266764e-08, -0.0022836265087655405, -9.448033568471253e-06, -0.016441327236418096, 0.02953222188070011, 134130000000, 
-0.04597410590321607, 0.0335608156760334, -0.13557087432377268, -0.06133711360808211, 0.023926425591032557, -0.062406618339967766, 9.72710176254981e-08, -0.002337757040106348, -4.1608694127201984e-05, -0.01643590004189806, 0.029531481907309195, 134232000000, 
-0.045974064441065936, 0.03356080161247562, -0.13557062778335338, -0.04757588743099672, 0.01537039267723682, -0.051503140775729934, 7.813579095662318e-08, -0.002209524225950093, -3.5363174587065176e-05, -0.016448421244176146, 0.029533189524055613, 134334000000, 
-0.045974075018968365, 0.03356080106098964, -0.13557039497100243, -0.06207749857316179, -0.005657340722339924, -0.05920127181174488, -4.743024678332015e-09, -0.002023457283252831, 2.34402016666609e-06, -0.016466436617144524, 0.029535646484278085, 134436000000, 
-0.0459740676559714, 0.03356080377477593, -0.13557011182139195, -0.07964258689880493, -0.006633957222799028, -0.07411763732849762, -2.689459941483938e-08, -0.002241890848465977, 1.1996391096935927e-05, -0.016444683591647608, 0.029532680092148423, 134538000000, 
-0.04597404200496489, 0.03356079389414623, -0.1355699007204203, -0.04509837796228112, 0.027756662318139128, -0.0528233148941981, 9.864959767257268e-08, -0.002412676166681043, -4.088803919685513e-05, -0.016427205955028484, 0.029530296748897754, 134640000000, 
-0.04597407704089795, 0.03356078976778055, -0.13556960273761862, -0.05571958277246433, 0.010692661000450686, -0.054898988561534516, 5.905776464034574e-08, -0.0020869565041191085, -2.829851246242128e-05, -0.01646021060104211, 0.02953479778963839, 134742000000, 
-0.04597404662731056, 0.03356079044895218, -0.13556934328187845, -0.049253425151188336, -0.020017212109431692, -0.050724801358646904, -4.9196551725539444e-08, -0.0019740454269744755, 2.4921691797610063e-05, -0.016469793522951866, 0.029536104753485174, 134844000000, 
