x, y, th, stamp, 
-13.651937484741211, -9.414898872375488, -0.09311069950388458, 1727989835535085119, 
-13.646187782287598, -9.41535472869873, -0.07797630023051276, 1727989835564948670, 
-13.633545875549316, -9.416226387023926, -0.04502866674932227, 1727989835633113910, 
-13.623873710632324, -9.416592597961426, -0.01964512577336897, 1727989835683655382, 
-13.615899085998535, -9.416722297668457, 0.002455373291594857, 1727989835726615674, 
-13.606389045715332, -9.416736602783203, 0.027783135763160993, 1727989835776640766, 
-13.596643447875977, -9.416508674621582, 0.0537155329291394, 1727989835826651333, 
-13.587722778320312, -9.415848731994629, 0.0769771578802816, 1727989835873310726, 
-13.577890396118164, -9.41507625579834, 0.10220205774426917, 1727989835923996867, 
-13.56631851196289, -9.413907051086426, 0.13420246143943143, 1727989835986415793, 
-13.557265281677246, -9.412371635437012, 0.1570015664623527, 1727989836034652890, 
-13.547686576843262, -9.410831451416016, 0.1828762290788321, 1727989836083796262, 
-13.539958953857422, -9.409250259399414, 0.20352884653658124, 1727989836125618412, 
-13.530638694763184, -9.407306671142578, 0.2281058030596853, 1727989836175651470, 
-13.52127742767334, -9.405180931091309, 0.2533526162295694, 1727989836224705258, 
-13.509882926940918, -9.402220726013184, 0.28441693218615693, 1727989836285117892, 
-13.500617027282715, -9.399504661560059, 0.3090572070527619, 1727989836334237815, 
-13.49148941040039, -9.396627426147461, 0.3342903781514089, 1727989836385055237, 
-13.482521057128906, -9.39332389831543, 0.3586158341918724, 1727989836435644710, 
-13.473745346069336, -9.389875411987305, 0.3829237408851491, 1727989836484629527, 
-13.46656322479248, -9.386934280395508, 0.40299218588521646, 1727989836523840138, 
-13.457858085632324, -9.38295841217041, 0.4275817006128603, 1727989836574651774, 
-13.449151039123535, -9.378856658935547, 0.45306074774706867, 1727989836625650518, 
-13.440826416015625, -9.374590873718262, 0.4782384312072086, 1727989836673774126, 
-13.433164596557617, -9.370366096496582, 0.5004609806589206, 1727989836720174565, 
-13.42164421081543, -9.363912582397461, 0.5366868296059938, 1727989836789430088, 
-13.414743423461914, -9.35983657836914, 0.558219846627048, 1727989836829776779, 
-13.407004356384277, -9.354569435119629, 0.5828999153416812, 1727989836878891841, 
-13.39909553527832, -9.349124908447266, 0.6075517985930219, 1727989836928747749, 
-13.391362190246582, -9.343643188476562, 0.633027524894666, 1727989836980656398, 
-13.383793830871582, -9.338157653808594, 0.6583107044539113, 1727989837030126146, 
-13.374831199645996, -9.330867767333984, 0.6889980128472281, 1727989837090402923, 
-13.370380401611328, -9.327170372009277, 0.7039912949697338, 1727989837119441697, 
-13.360274314880371, -9.318207740783691, 0.7390581379167309, 1727989837190457721, 
-13.35458755493164, -9.312697410583496, 0.759249227197496, 1727989837230498299, 
-13.347700119018555, -9.306120872497559, 0.7845420706879456, 1727989837279640671, 
-13.340913772583008, -9.299429893493652, 0.8101224242169507, 1727989837329804425, 
-13.33432674407959, -9.292618751525879, 0.83503590634406, 1727989837380801809, 
-13.327764511108398, -9.285415649414062, 0.8603530157733716, 1727989837431016222, 
-13.322882652282715, -9.279651641845703, 0.8784293529292997, 1727989837469795160, 
-13.314542770385742, -9.26923942565918, 0.9130083064497818, 1727989837540255670, 
-13.311050415039062, -9.26473617553711, 0.9282448988658498, 1727989837569770700, 
-13.304439544677734, -9.255273818969727, 0.9581255027798005, 1727989837630056677, 
-13.298893928527832, -9.2474946975708, 0.9838624417532548, 1727989837679712875, 
-13.293681144714355, -9.23933219909668, 1.009543666321414, 1727989837730647430, 
-13.288839340209961, -9.231260299682617, 1.0343453736138994, 1727989837780667180, 
-13.284212112426758, -9.222882270812988, 1.0602040994880346, 1727989837830742916, 
-13.278752326965332, -9.21281623840332, 1.090140791104001, 1727989837890038141, 
-13.27451229095459, -9.204459190368652, 1.114712233042483, 1727989837940004501, 
-13.27198314666748, -9.199193954467773, 1.12966560714733, 1727989837970670570, 
-13.267327308654785, -9.188652992248535, 1.160492725354825, 1727989838030140742, 
-13.26362133026123, -9.179752349853516, 1.1850979633022838, 1727989838080661014, 
-13.260167121887207, -9.170769691467285, 1.2106693823030918, 1727989838130665421, 
-13.256966590881348, -9.161711692810059, 1.2361608851224657, 1727989838180677953, 
-13.254490852355957, -9.153478622436523, 1.2579615345933595, 1727989838224765446, 
-13.251852989196777, -9.1451997756958, 1.2799211506876413, 1727989838269716843, 
-13.248353958129883, -9.13248348236084, 1.31503683207022, 1727989838340390656, 
-13.24689769744873, -9.126725196838379, 1.330213187696189, 1727989838370684780, 
-13.24413776397705, -9.11578369140625, 1.3607883075086196, 1727989838430686282, 
-13.242401123046875, -9.106602668762207, 1.3847925834585553, 1727989838479702491, 
-13.240432739257812, -9.097055435180664, 1.4101009428876794, 1727989838530669283, 
-13.239095687866211, -9.087417602539062, 1.436254988956055, 1727989838579672695, 
-13.238085746765137, -9.078939437866211, 1.4589010913729326, 1727989838625051040, 
-13.237104415893555, -9.070281982421875, 1.4826345266617582, 1727989838669951885, 
-13.236359596252441, -9.060869216918945, 1.5092926160562083, 1727989838719974420, 
-13.235896110534668, -9.051238059997559, 1.5342780353587089, 1727989838770687202, 
-13.23569393157959, -9.039778709411621, 1.564905956989629, 1727989838829811979, 
-13.235684394836426, -9.030223846435547, 1.590573084749422, 1727989838880675466, 
-13.236047744750977, -9.020757675170898, 1.6154137225535976, 1727989838929739438, 
-13.236416816711426, -9.011042594909668, 1.6404705176201746, 1727989838980680992, 
-13.237106323242188, -9.002115249633789, 1.6632323033727496, 1727989839025884695, 
-13.238030433654785, -8.993674278259277, 1.6843853724182507, 1727989839070122711, 
-13.23921012878418, -8.984339714050293, 1.7098473474343046, 1727989839120066446, 
