x, y, th, stamp, 
-13.887505531311035, -9.125865936279297, -0.848872397093216, 1727990078191678119, 
-13.88111400604248, -9.133045196533203, -0.8388304200465118, 1727990078240923481, 
-13.87472152709961, -9.139850616455078, -0.8289061573014905, 1727990078282860262, 
-13.865286827087402, -9.1495361328125, -0.8141858065725254, 1727990078332539906, 
-13.854681968688965, -9.16086483001709, -0.7950892075197539, 1727990078383534563, 
-13.843027114868164, -9.172698974609375, -0.7777996193295644, 1727990078431527630, 
-13.829267501831055, -9.186088562011719, -0.7557324703830922, 1727990078481615415, 
-13.810530662536621, -9.203548431396484, -0.7282054928071253, 1727990078544270653, 
-13.801396369934082, -9.21181583404541, -0.71446731385264, 1727990078574202520, 
-13.781054496765137, -9.229297637939453, -0.6835772490169215, 1727990078640983200, 
-13.767821311950684, -9.239950180053711, -0.6643758824368601, 1727990078683646964, 
-13.752612113952637, -9.252055168151855, -0.6400299334123558, 1727990078734683580, 
-13.736577987670898, -9.263936042785645, -0.6155466018281773, 1727990078784528078, 
-13.721014976501465, -9.274993896484375, -0.5916489874016397, 1727990078830717113, 
-13.704400062561035, -9.28590202331543, -0.5684228272948065, 1727990078881662900, 
-13.690394401550293, -9.295074462890625, -0.5482717925578241, 1727990078923533979, 
-13.673319816589355, -9.305496215820312, -0.5239123626157439, 1727990078973922067, 
-13.650005340576172, -9.318785667419434, -0.4894225104303944, 1727990079041494072, 
-13.63543701171875, -9.32650375366211, -0.46734381076081066, 1727990079083616584, 
-13.618301391601562, -9.335224151611328, -0.4399141481927907, 1727990079134581122, 
-13.600255966186523, -9.343672752380371, -0.4133582375736225, 1727990079185508929, 
-13.582685470581055, -9.35131549835205, -0.39128974530726074, 1727990079232654753, 
-13.564355850219727, -9.358763694763184, -0.36740229314319517, 1727990079282590216, 
-13.542242050170898, -9.367057800292969, -0.33498066122698134, 1727990079342337032, 
-13.530960083007812, -9.371054649353027, -0.3173880532561053, 1727990079373263280, 
-13.50502872467041, -9.379215240478516, -0.27991291893071585, 1727990079441874854, 
-13.490100860595703, -9.383614540100098, -0.25925236916851085, 1727990079482498828, 
-13.471117973327637, -9.388501167297363, -0.2340543725711913, 1727990079531699279, 
-13.45205020904541, -9.393203735351562, -0.2066508588676084, 1727990079582498034, 
-13.433026313781738, -9.397167205810547, -0.17895735056743015, 1727990079632513248, 
-13.413936614990234, -9.400689125061035, -0.15201268318154332, 1727990079682561484, 
-13.398636817932129, -9.40308666229248, -0.13130707692528235, 1727990079722567167, 
-13.371881484985352, -9.40634822845459, -0.09239081377077614, 1727990079792085863, 
-13.352327346801758, -9.408065795898438, -0.062482542877424066, 1727990079842677143, 
-13.336823463439941, -9.409111022949219, -0.04038448864930933, 1727990079882525941, 
-13.317182540893555, -9.410026550292969, -0.013064183479686351, 1727990079933507710, 
-13.29770278930664, -9.410075187683105, 0.014878644227926141, 1727990079981878219, 
-13.2785062789917, -9.40993595123291, 0.04228340757272018, 1727990080032511654, 
-13.259491920471191, -9.409059524536133, 0.07003027872043535, 1727990080082524885, 
-13.243847846984863, -9.407946586608887, 0.09373920738565801, 1727990080122386939, 
-13.216987609863281, -9.40540599822998, 0.1334758694094935, 1727990080191949486, 
-13.197609901428223, -9.402441024780273, 0.1613514241805802, 1727990080241979045, 
-13.182550430297852, -9.400184631347656, 0.18461589006202703, 1727990080281850427, 
-13.163357734680176, -9.39645004272461, 0.21269463601870328, 1727990080333510109, 
-13.144196510314941, -9.392375946044922, 0.24206497150909098, 1727990080382522353, 
-13.125432968139648, -9.387714385986328, 0.271705740980644, 1727990080432573907, 
-13.107040405273438, -9.382712364196777, 0.3012002322010124, 1727990080482656927, 
-13.085457801818848, -9.375741004943848, 0.33595929064529995, 1727990080541710794, 
-13.074441909790039, -9.37203311920166, 0.35455351516156236, 1727990080573263072, 
-13.049168586730957, -9.362603187561035, 0.3968097258696766, 1727990080642526158, 
-13.03515911102295, -9.356698989868164, 0.42067927422485524, 1727990080682545146, 
