Euclidian 1,Euclidian 1,Euclidian 2,Euclidian 2,Manhatten 1,Manhatten 1,Manhatten 2,Manhatten 2
0.1415469,0.107696736,-0.106046753,0.039098087,-0.080861697,0.019431195,0.036930115,0.0098091
0.145654677,0.113052192,-0.106046704,0.039098083,-0.080861737,0.019431193,0.036930194,0.009809096
0.153469491,0.124069171,-0.10604674,0.039098082,-0.080861747,0.019431192,0.036930162,0.009809097
0.158947375,0.132592356,-0.106046754,0.039098078,-0.080861692,0.019431194,0.042988453,0.009525928
0.164121576,0.141307913,-0.106046702,0.039098082,-0.080861672,0.019431195,0.053001506,0.009382722
0.167413686,0.147210785,-0.1060467,0.039098083,-0.080861725,0.019431193,0.063096576,0.009753661
0.172125474,0.156193108,-0.106046712,0.039098076,-0.080861747,0.019431191,0.073163553,0.010641276
0.176554198,0.165251479,-0.106046677,0.039098079,-0.080861682,0.019431194,0.083174859,0.012040363
0.180903969,0.174481763,-0.106046705,0.039098071,-0.080861632,0.019431196,0.089804197,0.013254763
0.185270043,0.183699031,-0.106046682,0.039098075,-0.080861646,0.019431194,0.099658352,0.015494431
0.189618446,0.192923918,-0.106046676,0.039098067,-0.080861614,0.019431195,0.109379939,0.018231269
0.193980187,0.202148063,-0.106046704,0.039098065,-0.077537294,0.019573125,0.11894697,0.02145968
0.198381453,0.211359191,-0.106046655,0.039098068,-0.068171578,0.020142022,0.128339803,0.02517301
0.202858196,0.220554957,-0.106046639,0.03909807,-0.058129584,0.021260292,0.137534602,0.029361691
0.207549283,0.229665313,-0.106046685,0.039098063,-0.04815733,0.022888249,0.146507502,0.034014658
0.212451217,0.238654007,-0.106046673,0.039098057,-0.038278137,0.025020831,0.15523208,0.039118137
0.217508325,0.247549933,-0.106046611,0.039098065,-0.028517705,0.027652973,0.163681767,0.044656755
0.22096315,0.25343017,-0.106046647,0.039098055,-0.01890739,0.030776627,0.171834997,0.05061712
0.22626065,0.262179232,-0.106046656,0.039098056,-0.009474352,0.034383462,0.179674083,0.056986386
0.233487271,0.273732169,-0.106046623,0.039098052,-0.000239437,0.038466116,0.187181071,0.063749904
0.237157968,0.279474498,-0.106046596,0.039098053,0.008778173,0.043015692,0.194335579,0.070888803
0.242807674,0.288012371,-0.106046642,0.039098047,0.017555466,0.048020565,0.201116327,0.078382307
0.248614906,0.296438877,-0.106046624,0.03909805,0.026069689,0.053467662,0.207504431,0.086209272
0.254542188,0.304770438,-0.106046583,0.039098047,0.034295645,0.059341015,0.213505308,0.094352453
0.260580156,0.313021306,-0.106046604,0.039098049,0.042208284,0.065622769,0.219189487,0.102737247
0.266718227,0.321195051,-0.106046576,0.039098044,0.04729919,0.070029971,0.224574198,0.111317627
0.272939245,0.329301741,-0.106046593,0.039098044,0.054649069,0.076959191,0.229623068,0.120105634
0.279231996,0.337350015,-0.106046603,0.039098045,0.061672013,0.084235877,0.232820586,0.126060178
0.28560175,0.345344096,-0.106046552,0.039098037,0.068344181,0.09183764,0.2373899,0.135117821
0.292076402,0.353255958,-0.10604655,0.039098036,0.074689539,0.099731603,0.241695019,0.144305854
0.298642852,0.361087736,-0.106046591,0.039098033,0.080727786,0.107865603,0.245717351,0.153539313
0.305282568,0.368855017,-0.106046549,0.039098037,0.086473278,0.11621276,0.249669692,0.162949263
0.311993108,0.376559149,-0.106046521,0.039098035,0.091913808,0.124685866,0.253652179,0.172341815
0.318767072,0.384204255,-0.106046563,0.039098032,0.097299822,0.133334618,0.257628738,0.181735967
0.325598209,0.391799264,-0.10604657,0.039098028,0.102619995,0.142020889,0.261629369,0.191124552
0.332493756,0.399336334,-0.106046514,0.03909803,0.107854139,0.150759696,0.265678242,0.200497181
0.337124319,0.404329452,-0.106046524,0.039098029,0.113029552,0.159535,0.269784625,0.209846549
0.344109734,0.411779032,-0.10604652,0.039098022,0.118156458,0.168338363,0.273971931,0.219180321
0.351139977,0.419184577,-0.106046503,0.039098025,0.12325046,0.177178497,0.276889825,0.225357727
0.358211104,0.426549487,-0.106046538,0.039098021,0.128424723,0.185991996,0.281449694,0.234530686
0.365317789,0.433878253,-0.106046504,0.039098023,0.133684743,0.194748953,0.286172635,0.243603146
0.372454447,0.441175832,-0.106046465,0.039098019,0.137218069,0.20056886,0.291047493,0.252596094
0.379618391,0.448446854,-0.106046506,0.039098021,0.142567578,0.209266617,0.296061793,0.26151082
0.386809308,0.455690449,-0.106046504,0.039098014,0.147973663,0.217929205,0.301188071,0.270355188
0.394023417,0.462909422,-0.106046451,0.039098013,0.153420917,0.22656213,0.306403794,0.279140991
0.401257163,0.470107664,-0.106046474,0.039098013,0.158916459,0.235177271,0.311720424,0.287880837
0.408508852,0.47728715,-0.106046492,0.039098014,0.164530068,0.243722869,0.317210329,0.296518314
0.415776797,0.484449594,-0.106046448,0.039098007,0.170249761,0.252192127,0.32285361,0.305050431
0.42305913,0.491596931,-0.106046452,0.039098006,0.176044028,0.260607515,0.32861243,0.313501929
0.43035449,0.498730457,-0.106046445,0.039098007,0.181914365,0.268968812,0.334483711,0.321872815
