x, y, theta, stamp, 
-0.14569933712482452, -0.20325300097465515, 0.9461650952284798, 1729802875309910037, 
-0.13755393028259277, -0.1921815276145935, 0.9457659086189381, 1729802875410009087, 
-0.12878257036209106, -0.18023817241191864, 0.9450759195332522, 1729802875519780157, 
-0.12246422469615936, -0.1715257167816162, 0.9474564310298207, 1729802875610951083, 
-0.11586695909500122, -0.1626887023448944, 0.9466196587803521, 1729802875709918219, 
-0.1095794141292572, -0.15377895534038544, 0.9462782796992476, 1729802875805060114, 
-0.10340780764818192, -0.14523150026798248, 0.9457313634792028, 1729802875904641362, 
-0.09727439284324646, -0.13714557886123657, 0.9465171042109444, 1729802876014954903, 
-0.09202556312084198, -0.12984886765480042, 0.9460841489792197, 1729802876114948665, 
-0.08726082742214203, -0.12318311631679535, 0.9460841489792197, 1729802876205106992, 
-0.08177658915519714, -0.11544348299503326, 0.945225868339972, 1729802876314866132, 
-0.07736627012491226, -0.1093050092458725, 0.9442712323237069, 1729802876414947572, 
-0.07354142516851425, -0.10416948795318604, 0.9456456256438762, 1729802876509952165, 
-0.06935122609138489, -0.09817060083150864, 0.9448929701845531, 1729802876609999301, 
-0.064712293446064, -0.09181894361972809, 0.946254136146686, 1729802876719801595, 
-0.06162332743406296, -0.08768622577190399, 0.9475453595527694, 1729802876810052168, 
-0.05848633125424385, -0.08319400995969772, 0.9496104986896955, 1729802876909915279, 
-0.055367786437273026, -0.07895439863204956, 0.9503839437078502, 1729802877009409390, 
-0.05187549442052841, -0.07392605394124985, 0.9508180109123929, 1729802877115052831, 
-0.048948489129543304, -0.0699225515127182, 0.9508180109123929, 1729802877214957104, 
-0.04654110223054886, -0.0662897378206253, 0.9524950610970722, 1729802877315931718, 
-0.04396844282746315, -0.06271595507860184, 0.9537644301755454, 1729802877404969953, 
-0.04159615933895111, -0.05944741889834404, 0.9537644301755454, 1729802877514915889, 
-0.03924952819943428, -0.05606459826231003, 0.9558684060441205, 1729802877614190258, 
-0.03700820729136467, -0.053007256239652634, 0.9552720393440006, 1729802877714266355, 
-0.03530631959438324, -0.05058285593986511, 0.9560093343418901, 1729802877810081061, 
-0.032957158982753754, -0.04718573018908501, 0.957453847359869, 1729802877919280886, 
-0.031288616359233856, -0.04489007219672203, 0.9568325621706322, 1729802878010000706, 
-0.029956653714179993, -0.04302674159407616, 0.9571135832042624, 1729802878109939271, 
-0.028082221746444702, -0.04031091183423996, 0.9581019422720912, 1729802878210055848, 
-0.026392167434096336, -0.03778715431690216, 0.9592631895084773, 1729802878299417245, 
-0.024429641664028168, -0.035224176943302155, 0.9593386374677335, 1729802878409979291, 
-0.022763807326555252, -0.032946281135082245, 0.9593386374677335, 1729802878515957735, 
-0.021165600046515465, -0.030467720702290535, 0.9593386374677335, 1729802878605076486, 
-0.018952300772070885, -0.027422098442912102, 0.9601837301118139, 1729802878714998388, 
-0.01755908690392971, -0.025580797344446182, 0.9601837301142131, 1729802878814973748, 
-0.01590651459991932, -0.023389268666505814, 0.9601837301142131, 1729802878914978967, 
-0.014390058815479279, -0.020970089361071587, 0.9591834795991603, 1729802879010065551, 
-0.01239866204559803, -0.018245363608002663, 0.9592806377104298, 1729802879119911407, 
-0.010718712583184242, -0.015835890546441078, 0.9605409009992077, 1729802879211128421, 
-0.009094726294279099, -0.013463962823152542, 0.9618812569799897, 1729802879309956230, 
-0.0073626358062028885, -0.010894378647208214, 0.9629507229419261, 1729802879409971060, 
-0.005500608589500189, -0.00842374749481678, 0.9639012692685722, 1729802879499602390, 
-0.0031647959258407354, -0.004828382283449173, 0.9690614475981001, 1729802879610002849, 
